trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,11,-7.576412412994283,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,6,-29.387573461142274,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-237.51308013990254,"{0: 7, 1: 5, 2: 2, 3: 2, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,8,-95.14757318336288,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-235.6112996971301,"{0: 18, 1: 0, 2: 6, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-111.42268303930805,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-67.61065302625975,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,1,-115.0329765951418,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-49.84587892037918,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-95.76455743779135,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-98.6311330869809,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,9,-34.47812036687536,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,4,-127.6623005708344,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 3}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-53.22413402575265,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,18.277716234083144,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-5.511058117528738,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,16,7.808254071360004,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,5,23.080135854489292,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,12,-8.038782158530331,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,8,17.528373673732496,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,6,-17.75731683374265,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",30,18,19.055152739091884,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,11,1.421194465384002,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,11,8.666867530145005,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,8,18.64480264641283,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,11,15.401923417745778,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,9,21.7781682405958,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,11,17.549337820984544,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,5,1.9558665714719257,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,16,7.373816735278236,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
