trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",30,0,-188.53910981968616,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",25,0,-85.22485471436737,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,8,-139.86517528428965,"{0: 4, 1: 1, 2: 4, 3: 1, 4: 2}",1
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",25,0,-113.25604768636485,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",20,0,-28.841111748181433,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",30,0,-150.30573702079585,"{0: 16, 1: 7, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",20,0,-43.7112741130087,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",30,0,-283.7300873758949,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 6}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",30,0,-132.19632550356457,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-151.82239654201888,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",20,0,-102.31584536015617,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,1,-93.36530473528738,"{0: 7, 1: 4, 2: 8, 3: 0, 4: 0}",1
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,0,-134.35776911216055,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",25,0,-167.3266856821874,"{0: 14, 1: 5, 2: 2, 3: 1, 4: 3}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",35,0,-98.13948428720097,"{0: 26, 1: 2, 2: 4, 3: 2, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",20,0,-22.43729202469142,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",25,0,-47.47334193203884,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",25,0,-103.28964895106351,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",25,0,-78.25627547173445,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",20,0,-63.40259984809226,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
21,False,"{'a': 0.01, 'e': 0.8105842459701871}",25,0,-204.06037598086073,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
22,False,"{'a': 0.01, 'e': 0.8025187979624785}",30,0,-178.78393983273264,"{0: 19, 1: 3, 2: 3, 3: 2, 4: 3}",0
23,False,"{'a': 0.01, 'e': 0.794533602503334}",25,0,-162.51843420630274,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
24,False,"{'a': 0.01, 'e': 0.7866278610665535}",30,0,-76.20830922815331,"{0: 24, 1: 3, 2: 1, 3: 0, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.7788007830714049}",35,0,-102.54393938084877,"{0: 23, 1: 4, 2: 5, 3: 3, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.7710515858035663}",25,0,-115.57972179475966,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.7633794943368531}",25,0,-62.90369658316559,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.7557837414557255}",25,0,-77.04710199843716,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.7482635675785653}",25,0,-90.17546055979015,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
30,False,"{'a': 0.01, 'e': 0.7408182206817179}",25,15,-37.868671418117714,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",1
31,False,"{'a': 0.01, 'e': 0.7334469562242892}",25,0,-71.9653369729047,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.7261490370736909}",20,0,-89.73985414102751,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
33,False,"{'a': 0.01, 'e': 0.7189237334319262}",20,0,-84.3223760219419,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
34,False,"{'a': 0.01, 'e': 0.7117703227626097}",25,0,-93.04630134096257,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.7046880897187134}",30,0,-113.8032077109159,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
36,False,"{'a': 0.01, 'e': 0.697676326071031}",25,0,-82.95961062531768,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.6907343306373547}",25,0,-47.68404824171504,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.6838614092123558}",20,0,-12.62505932918025,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.6770568744981647}",25,0,-84.7034743264879,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.6703200460356393}",20,6,-48.78749029809569,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
41,False,"{'a': 0.01, 'e': 0.6636502501363194}",25,3,-65.19780367654515,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 0}",1
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",30,0,-59.49271369481807,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",25,0,-48.390767645504134,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.6440364210831414}",20,12,-11.692419501124675,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
45,False,"{'a': 0.01, 'e': 0.6376281516217733}",30,16,-4.196414351845187,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.631283645506926}",20,0,-6.874948540499313,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.6250022682827008}",20,16,9.66874819691907,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.01, 'e': 0.6187833918061408}",25,0,-50.83385396058916,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
49,False,"{'a': 0.01, 'e': 0.6126263941844161}",20,0,-98.84496728005983,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
50,False,"{'a': 0.01, 'e': 0.6065306597126334}",20,0,-97.92947742171437,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.6004955788122659}",25,16,-35.288085337705155,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 1}",1
52,False,"{'a': 0.01, 'e': 0.5945205479701944}",25,11,-2.156527603981651,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.01, 'e': 0.5886049696783552}",25,0,-17.980110900841503,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.5827482523739896}",20,0,-110.03102022990778,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
55,False,"{'a': 0.01, 'e': 0.5769498103804866}",20,16,7.181797841848862,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.01, 'e': 0.5712090638488149}",25,0,-57.479395022170465,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
57,False,"{'a': 0.01, 'e': 0.5655254386995371}",25,3,-33.540861945373464,"{0: 17, 1: 2, 2: 1, 3: 2, 4: 0}",1
58,False,"{'a': 0.01, 'e': 0.559898366565402}",25,10,-41.77811701378668,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
59,False,"{'a': 0.01, 'e': 0.5543272847345071}",30,16,-13.068400853667608,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
60,False,"{'a': 0.01, 'e': 0.5488116360940265}",25,0,-77.85173973534454,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",1
