trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.34341531900412,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,11,-11.153563087408525,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-102.11949687479115,"{0: 18, 1: 2, 2: 9, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-205.1771423792428,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-225.94516406558466,"{0: 19, 1: 5, 2: 7, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.62025204812112,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.94356366798004,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-236.85932321513755,"{0: 19, 1: 1, 2: 11, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-208.74189504121577,"{0: 7, 1: 3, 2: 6, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-184.86847932770436,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.9482839148806,"{0: 8, 1: 7, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.9210164451024,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-175.44336448739304,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,9,-77.7516208933303,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.34062452498631,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.68663463042053,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.94714462703654,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.01030737273871,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.64861345443055,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-179.82128181172592,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-161.74017245591997,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-177.9587991781533,"{0: 12, 1: 7, 2: 3, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-61.4750757735305,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,11,-26.7186014620423,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-170.3079505946006,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-143.81252832106958,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-120.31070725219688,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,5,-107.16508707573314,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-184.3670826781337,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,3,-53.849236690577946,"{0: 20, 1: 4, 2: 2, 3: 0, 4: 1}",1
